Setting logging level to INFO
2026-01-29 08:20:13.882-0500 | main | INFO  | Besu | Starting Besu
2026-01-29 08:20:14.441-0500 | main | INFO  | Besu | RPC HTTP JSON-RPC config: JsonRpcConfiguration{enabled=false, port=8545, host=127.0.0.1, corsAllowedDomains=[], hostsAllowlist=[localhost, 127.0.0.1], rpcApis=[ETH, NET, WEB3], authenticationEnabled=false, authenticationCredentialsFile=null, authenticationPublicKeyFile=null, tlsConfiguration=Optional.empty, httpTimeoutSec=30, maxActiveConnections=80, maxBatchSize=1024}
2026-01-29 08:20:14.445-0500 | main | WARN  | Besu | Forcing --bonsai-limit-trie-logs-enabled=false, since it cannot be enabled with --sync-mode=FULL and --data-storage-format=BONSAI.
2026-01-29 08:20:14.447-0500 | main | INFO  | Besu | Connecting to 0 static nodes.
2026-01-29 08:20:14.465-0500 | main | WARN  | Besu | Forcing price bump for transaction replacement to 0, since min-gas-price is set to 0
2026-01-29 08:20:14.466-0500 | main | WARN  | Besu | Forcing tx-pool-min-gas-price=0, since it cannot be greater than the value of min-gas-price
2026-01-29 08:20:14.490-0500 | main | INFO  | Besu | jemalloc library not found, memory usage may be reduced by installing it
2026-01-29 08:20:14.609-0500 | main | INFO  | Besu | 
####################################################################################################
#                                                                                                  #
# Besu version 25.11.0                                                                             #
#                                                                                                  #
# Configuration:                                                                                   #
# Network: Custom genesis file                                                                     #
# /home/unified/besublockchain/Nodes/Node-FCI-Boot/../../genesis.json                              #
# Network Id: 12345                                                                                #
# Profile: ENTERPRISE                                                                              #
# Data storage: Bonsai                                                                             #
# Sync mode: Full                                                                                  #
# Sync min peers: 5                                                                                #
# Using LAYERED transaction pool implementation                                                    #
# Using STACKED worldstate update mode                                                             #
# Opcode optimizations enabled                                                                     #
# Parallel transaction processing enabled                                                          #
# Target Gas Limit: 60M                                                                            #
#                                                                                                  #
# Host:                                                                                            #
# Java: openjdk-java-21                                                                            #
# Maximum heap size: 2.88 GB                                                                       #
# OS: linux-x86_64                                                                                 #
# glibc: 2.39                                                                                      #
# Total memory: 11.52 GB                                                                           #
# CPU cores: 16                                                                                    #
#                                                                                                  #
# Plugin Registration Summary:                                                                     #
# No plugins have been registered.                                                                 #
# TOTAL = 0 of 0 plugins successfully registered.                                                  #
#                                                                                                  #
####################################################################################################
2026-01-29 08:20:14.610-0500 | main | INFO  | Besu | Security Module: localfile
2026-01-29 08:20:14.611-0500 | main | INFO  | VersionMetadata | Lookup version metadata file in data directory: /home/unified/besublockchain/Nodes/Node-FCI-Boot/data
2026-01-29 08:20:14.660-0500 | main | INFO  | VersionMetadata | Existing version data detected. Besu version 25.11.0
2026-01-29 08:20:14.698-0500 | main | INFO  | Besu | Using the native implementation of alt bn128
2026-01-29 08:20:14.699-0500 | main | INFO  | Besu | Using the Java implementation of modexp
2026-01-29 08:20:14.700-0500 | main | INFO  | Besu | Using the native implementation of the signature algorithm
2026-01-29 08:20:14.702-0500 | main | INFO  | Besu | Using the native implementation of the blake2bf algorithm
2026-01-29 08:20:14.834-0500 | main | INFO  | Besu | Using the native BoringSSL implementation of p256verify
2026-01-29 08:20:14.922-0500 | main | WARN  | Besu | Forcing price bump for transaction replacement to 0, since min-gas-price is set to 0
2026-01-29 08:20:14.923-0500 | main | WARN  | Besu | Forcing tx-pool-min-gas-price=0, since it cannot be greater than the value of min-gas-price
2026-01-29 08:20:14.925-0500 | main | INFO  | KeyPairUtil | Attempting to load public key from /home/unified/besublockchain/Nodes/Node-FCI-Boot/data/key
2026-01-29 08:20:14.954-0500 | main | INFO  | KeyPairUtil | Loaded public key 0x2b537a3522b70de0fa139e6dacc7c727cf6aa5ecb86a07c86abcc2bde7efc85f9ef66d947c61bfddd8247b74ae53711c2f5bf8dfe17c269b6d72b53b16595963 from /home/unified/besublockchain/Nodes/Node-FCI-Boot/data/key
